GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
KCTD16	BRIX1	0	ref_10000random	0.380805	0.13144273	0	1.0	0.0	0.0	0.0	0.73715794	0.26340917	0.087723	1.9411	0.021154	0	0.0	0.0	0.0	0.0	8.79E-4	0.001544	0.5591	0.0
RPL4	TLDC1	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CRYAA	PRKG2	0	ref_10000random	0.483377	0.036453	0	0.122	0.195	0.673	0.0	0.373	0.093	0.062423	0.970923	0.071117	0	0.0	0.0	0.0	0.0	0.003375	0.005958	0.613	0.076
EXOC5	RIOK1	0	ref_10000random	0.211769	0.022743	0	1.0	0.061	0.685	0.0	0.799	0.669	0.085743	0.996684	0.996682	0	0.0	0.0	0.0	0.3333	1.4E-4	1.19E-4	0.5115	0.0
BBS10	LMBR1	0	ref_10000random	0.276768	0.021214	0	0.0	0.0	0.0	0.0	0.296	0.116	0.091608	6.88E-4	6.88E-4	0	0.0	0.0	0.0	0.3125	9.6138753E-4	0.0016693718	0.4147	0.623
PSD3	LIPF	0	ref_10000random	0.58970225	0.25073865	0	0.214	0.0	0.151	0.0	0.591	0.463	0.050065	0.852459	0.850952	0	0.0	0.0	0.0	0.0	8.0E-5	1.07E-4	0.5138	1.0
CRYL1	PTPRD	0	ref_10000random	0.315396	0.032248	0	0.356	0.249	0.486	0.0	0.948	0.728	0.087251	1.000019	0.999981	0	0.0	0.0	0.0	0.2	2.25E-4	3.61E-4	0.4668	0.0
ZFAND5	IL9	0	ref_10000random	0.392906	0.167647	2	0.559	0.323	0.643	0.0	0.18	0.08	0.064958	0.913126	0.912044	0	0.0	0.0	0.0	0.0588	7.3E-5	1.23E-4	0.5236	0.0
GKAP1	CDH19	0	ref_10000random	0.205495	0.014207	0	0.695	0.174	0.291	0.0	0.297	0.225	0.188046	0.122828	0.122828	0	0.0	0.0	0.0	0.0	1.3E-5	1.7E-5	0.526	0.0
ISL1	MOCS1	0	ref_10000random	0.28114718	0.08420823	2	0.0	0.059	0.846	0.0	0.427	0.335	0.122351	0.607106	0.605166	0	0.0	0.0	0.0	0.0556	8.3291315E-4	0.0014525295	0.6367	0.0
COPB1	RARG	0	ref_10000random	0.479169	0.037453	0	1.0	0.108	0.541	0.0	0.956	0.006	0.088665	1.969826	0.0297	0	0.0	0.0	0.0	0.3158	0.002534	0.004489	0.6488	0.0
ITPKA	TSPAN9	0	ref_10000random	0.250869	0.003291	0	0.0	0.167	0.356	0.0	0.306	0.038	0.096752	1.6008	0.041245	0	0.0	0.0	0.0	0.0	3.8E-5	6.2E-5	0.4626	0.0
KCNK9	NUDT5	0	ref_10000random	0.270756	0.014133	0	0.068	0.112	0.262	0.0	0.556	0.258	0.12831	0.136454	0.117533	0	0.0	0.0	0.0	0.0	0.003208	0.005692	0.574	0.0
SQRDL	TEKT5	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IL7	FOXM1	0	ref_10000random	1.138286	0.145803	2	0.57	0.369	0.118	0.0	0.869	0.685	0.025336	1.682464	0.077284	0	0.0	0.0	0.0	0.4667	1.0E-5	1.1E-5	0.5019	0.387
UCHL3	XYLB	0	ref_10000random	0.230845	0.008255	0	0.234	0.343	1.0	0.0	0.945	0.239	0.047989	1.9E-5	1.9E-5	0	0.0	0.0	0.0	0.1	0.001855	0.003192	0.5014	0.0
KCTD11	PCSK5	0	ref_10000random	0.345479	0.138083	1	0.815	0.0	0.0	0.0	0.228	0.018	0.057007	0.447659	0.447244	0	0.0	0.0	0.0	0.2273	1.0E-5	1.7E-5	0.3467	0.0
CREB3	PCK1	0	ref_10000random	0.588643	0.414446	1	0.213	0.161	0.727	0.0	0.604	0.252	0.023929	1.0E-6	1.0E-6	0	0.0	1.0	0.0	0.0	4.2E-5	7.3E-5	0.5999	0.556
VASP	ADSS	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZNF711	RNF17	0	ref_10000random	0.210222	7.6E-4	0	0.0	0.0	0.0	0.0	0.425	0.025	0.103831	1.989394	0.010606	0	0.0	0.0	0.0	0.1	1.1E-5	1.6E-5	0.5468	0.0
DLGAP4	TMEM79	0	ref_10000random	0.2869156	0.09554795	0	1.0	0.0	0.273	0.0	0.37	0.106	0.125251	0.991953	0.991952	0	0.0	0.0	0.0043808296	0.1111	9.1E-5	1.54E-4	0.4371	0.0
DEFB4A	CDC14B	0	ref_10000random	0.3925089	0.15550871	0	0.522	0.196	0.442	0.0	0.5817454	0.25221545	0.095715	0.976119	0.176494	0	0.0	0.0	0.0	0.0	6.0E-6	9.0E-6	0.6025	0.0
MB	DEPDC1B	0	ref_10000random	0.739065	0.484878	1	0.0	0.227	1.0	0.0	0.856	0.6	0.052784	0.337863	0.337818	0	0.0	0.0	0.0	0.0	0.001875	0.00331	0.552	0.0
DNAJC4	WBSCR16	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ATP5D	DNMT3A	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZNF853	UPF3A	0	ref_10000random	0.2749008	0.07761886	0	0.214	0.0	0.0	0.0	0.33360645	0.13069241	0.085569	0.001772	1.46E-4	0	0.0	0.0	0.0	0.1364	1.7E-5	1.7E-5	0.3524	0.0
CHRDL1	PALD1	0	ref_10000random	0.31067032	0.0997133	0	0.0	0.0	0.382	0.0	0.3680111	0.14234123	0.10998	0.054516	0.052741	0	0.0	0.0	0.0	0.2632	6.1E-5	5.0E-5	0.324	0.0
CYTH4	SNAPC3	0	ref_10000random	0.229603	0.014248	0	0.214	0.0	0.439	0.0	0.4340898	0.19395891	0.092252	0.57255	0.572439	0	0.0	0.0	0.0	0.1667	1.3E-5	4.0E-6	0.5472	0.0
ACTL10	SLC39A3	0	ref_10000random	0.4121813	0.1672298	0	0.27501252	0.16942105	0.4131086	0.0	0.37924385	0.16726738	0.100429	0.061899	0.059794	0	0.0	0.0	0.0	0.1667	1.4E-5	2.2E-5	0.3732	0.07372763
TUBB2A	APLF	0	ref_10000random	0.409136	0.262626	0	0.45	0.24	0.595	0.0	0.5007212	0.24976304	0.090648	0.5723454	0.40476406	0	0.0	0.0	0.0	0.037	0.012259	0.021436	0.5104	0.0
AHSP	PPP3CC	0	ref_10000random	0.44979897	0.18555123	0	0.759	0.226	0.808	0.0	0.49663648	0.21587981	0.057007	0.026482	0.006768	0	0.0	0.0	0.0	0.1333	9.86E-4	0.001625	0.5622	0.128
SPOP	B3GNT7	0	ref_10000random	0.290919	0.081468	1	0.122	0.248	0.567	0.0	0.527	0.159	0.058719	1.613376	0.371686	0	0.0	0.0	0.0	0.0909	3.0E-5	2.0E-6	0.6861	0.0
CT45A10	ZNF439	0	ref_10000random	0.3240433	0.11129596	0	0.0	0.0	0.505	0.0	0.42767102	0.22834773	0.11127019	0.4940453	0.41878694	0	0.0	0.0	0.0	0.030216187	0.0013608071	0.0023448404	0.6606	0.0
SLC25A43	IRS4	0	ref_10000random	0.25989935	0.05661385	0	0.0	0.0	0.0	0.0	0.115	0.009	0.083251	0.662389	0.556479	0	0.0	0.0	0.0	0.1429	1.32E-4	2.19E-4	0.5193	0.0
C5AR1	PROC	0	ref_10000random	1.123218	0.191767	1	0.118	0.284	0.345	0.0	0.544	0.298	0.050673	0.032892	0.032059	0	0.0	0.0	0.0	0.0	0.001944	0.003443	0.4614	0.326
ATP8B1	B3GNT7	0	ref_10000random	0.27153	0.062079	0	0.14	0.18	0.669	0.0	0.463	0.223	0.09464	0.620846	0.620845	0	0.0	0.0	0.0	0.2105	0.0012917521	0.002172773	0.4334	0.0
BCL2L12	LGALS14	0	ref_10000random	0.215499	0.02095	0	0.0	0.0	0.0	0.0	0.302	0.172	0.066	0.010028	0.009997	0	0.0	0.0	0.0	0.0625	9.3984004E-4	0.0016488855	0.4667	0.0
ANAPC7	PDSS2	0	ref_10000random	0.279448	0.050154	0	0.399	0.2	0.665	0.0	0.667	0.537	0.083251	0.999277	0.999239	0	0.0	0.0	0.0	0.1667	1.86E-4	2.67E-4	0.2626	1.0
CRX	OSBPL10	0	ref_10000random	0.451225	0.22512	0	0.299	0.141	0.91	0.0	1.138	0.4	0.141461	0.623857	0.623573	0	0.0	0.0	0.0	0.0	2.8E-5	4.0E-5	0.5948	0.055
FOXP2	SLC25A19	0	ref_10000random	0.82963	0.473146	2	0.131	0.146	0.0	0.0	0.988	0.756	0.099717	1.92579	0.066568	0	0.0	0.0	0.0	0.0556	1.69E-4	2.88E-4	0.5809	0.174
STX1A	DDX51	0	ref_10000random	0.547211	0.327926	1	0.261	0.227	0.374	0.0	0.537	0.323	0.114498	0.910476	0.910476	0	0.0	0.0	0.0	0.1429	2.09E-4	1.8E-4	0.3463	0.0
SEPT14	GRIN2C	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FAM19A1	PRR14	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TARS	ZNF554	0	ref_10000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GATAD1	ROBO1	0	ref_10000random	0.225439	0.022826	1	0.214	0.135	0.372	0.0	1.528	0.306	0.132879	0.507484	0.507483	0	0.0	0.0	0.0	0.3158	3.5E-5	1.7E-5	0.5547	0.0
KCTD11	RBBP7	0	ref_10000random	0.417771	0.210375	0	0.815	0.0	0.0	0.0	1.087	0.841	0.029072	1.430746	0.535843	0	0.0	0.0	0.0	0.1	0.002014	0.003573	0.5465	0.0
L2HGDH	MMP26	0	ref_10000random	0.262083	0.055674	0	0.186	0.357	0.166	0.0	0.334	0.27	0.096752	0.332141	0.287798	0	0.0	0.0	0.0	0.0667	2.4E-4	4.26E-4	0.4537	0.296
SAMHD1	CRYZL1	0	ref_10000random	0.228897	0.043163	0	0.292	0.377	0.413	0.0	0.122	0.042	0.087251	0.090631	0.090601	0	0.34	0.11008963	0.0	0.4118	0.001173	0.001813	0.4176	0.0
ARMCX5	ZNF778	0	ref_10000random	0.33747658	0.11147554	0	0.33253	0.17686374	0.41792282	0.0	0.49499407	0.23834968	0.097964	0.550666	0.550666	0	0.0	0.0	0.0	0.2778	1.2E-5	1.4E-5	0.5383	0.052769426
CDKN2B	FAM43B	0	ref_10000random	0.44407737	0.16655627	0	0.41898552	0.19870833	0.4729837	0.0	0.875	0.083	0.085139	0.88664657	0.40032965	0	0.0	4.7577327E-4	0.0	0.0	7.7E-5	1.33E-4	0.5436	0.14806062
KXD1	LIMCH1	0	ref_10000random	0.27938476	0.07893243	0	0.403	0.066	0.242	0.0	0.5358959	0.26210508	0.153879	1.140554	0.858723	0	0.0	0.0	0.0	0.2632	1.92E-4	1.91E-4	0.562	0.0
CDRT4	SIGLEC8	0	ref_10000random	0.16307014	0.019417912	0	0.08225684	0.062370487	0.18559241	0.0	0.228	0.102	0.274677	0.24478	0.243802	0	0.0	0.0	0.0	0.0556	8.0062274E-4	0.0015204814	0.5168	0.0
CTF1	RABL2A	0	ref_10000random	0.463858	0.267378	0	0.129	0.37	0.0	0.0	0.69293976	0.3727174	0.085362	1.078594	0.802085	0	0.0	0.0	0.0	0.3	4.6E-5	3.0E-5	0.46607327	0.0
HEPACAM2	CERCAM	0	ref_10000random	0.188789	0.002455	0	0.0	0.131	0.53	0.0	0.2947176	0.12542047	0.101451	0.018254	0.018254	0	0.0	0.0	0.0	0.0	2.9E-5	4.9E-5	0.5834	0.0
CD70	ASPG	0	ref_10000random	0.331837	0.098001	1	0.158	0.196	0.356	0.0	0.37235612	0.16077226	0.107106	0.045753	0.045751	0	0.0	0.0	0.0	0.0	1.94E-4	3.4E-4	0.4821	0.0
IFNE	SMAP1	0	ref_10000random	0.4183743	0.18966031	0	0.0	0.184	0.0	0.0	0.5996415	0.33653888	0.068483	0.98369	0.983688	0	0.0	0.0	0.0	0.2105	1.64E-4	2.91E-4	0.6092	0.0
FAM222B	MOK	0	ref_10000random	0.34027234	0.11784576	0	0.33184406	0.17009424	0.38793898	4.4E-5	0.49947596	0.24221797	0.111802	0.549447	0.549447	0	0.0	0.002227317	0.0	0.1538	7.0E-6	2.0E-6	0.4801	0.058387477
ZNF100	CDPF1	0	ref_10000random	0.2623863	0.08300593	0	0.3022726	0.12956034	0.33175772	0.0	0.28174445	0.12833405	0.164295	0.001139	0.001139	0	0.0	0.0	0.0	0.5556	5.0E-6	3.0E-6	0.6098	0.0031466768
KIF18B	REP15	0	ref_10000random	0.32443234	0.11167287	0	1.0	0.165	0.505	3.8637463E-6	0.43281868	0.17118205	0.101345	0.001482	0.001316	0	0.0	0.0	0.0	0.2727	0.0012736147	0.0020212193	0.4749	0.0
